# Server version 0.08 running on wpa070049.wireless.mcgill.ca:8123
# Game ID: 156
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Apr 06 18:13:10 EDT 2014
# Player 1: Player-0, '111111111', running on localhost
# Player 2: Player-1, 'random', running on wpa070049.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa070049.wireless.mcgill.ca
# Player 4: Player-3, '111111111', running on localhost
START Player-0 111111111
3 (4,13) (2,13)
3 (2,13) (2,11)
3 (2,11) (0,9)
3 null null
0 (6,15) (4,13)
0 (4,13) (4,15)
0 (4,15) (6,13)
0 (6,13) (8,11)
0 (8,11) (10,13)
0 (10,13) (12,13)
0 (12,13) (14,13)
0 null null
1 (12,0) (11,1)
2 (3,13) (4,12)
3 (14,12) (12,14)
3 (12,14) (10,12)
3 (10,12) (8,12)
3 (8,12) (6,12)
3 null null
0 (8,15) (6,15)
0 (6,15) (4,15)
0 (4,15) (6,13)
0 (6,13) (8,11)
0 (8,11) (10,13)
0 (10,13) (12,13)
0 null null
1 (14,5) (15,5)
2 (0,11) (0,10)
3 (15,12) (13,14)
3 (13,14) (11,12)
3 null null
0 (2,0) (4,0)
0 null null
1 (14,0) (12,0)
1 (12,0) (10,2)
1 (10,2) (12,0)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 null null
2 (2,15) (3,15)
3 (9,2) (7,0)
3 null null
0 (3,0) (5,0)
0 null null
1 (11,1) (10,2)
2 (2,12) (1,12)
3 (8,1) (6,1)
3 null null
0 (4,0) (6,0)
0 (6,0) (8,2)
0 null null
1 (10,2) (11,1)
2 (1,11) (0,11)
3 (8,0) (6,0)
3 (6,0) (4,0)
3 null null
0 (5,0) (7,2)
0 (7,2) (9,2)
0 null null
1 (15,4) (14,5)
2 (2,14) (2,13)
3 (7,0) (7,2)
3 (7,2) (5,0)
3 (5,0) (3,0)
3 null null
0 (8,2) (10,2)
0 (10,2) (12,4)
0 null null
1 (11,3) (13,3)
1 (13,3) (11,5)
1 null null
2 (4,12) (4,11)
3 (6,10) (6,8)
3 null null
0 (0,3) (2,3)
0 null null
1 (13,1) (14,1)
2 (4,11) (3,11)
3 (4,0) (2,0)
3 null null
0 (1,3) (3,3)
0 null null
1 (12,2) (14,2)
1 (14,2) (12,2)
1 (12,2) (10,0)
1 (10,0) (12,2)
1 (12,2) (10,0)
1 (10,0) (12,2)
1 null null
2 (3,15) (2,15)
3 (11,13) (11,11)
3 null null
0 (2,2) (4,4)
0 null null
1 (12,3) (13,4)
2 (2,13) (2,12)
3 (11,12) (11,10)
3 null null
0 (2,3) (4,3)
0 (4,3) (4,5)
0 (4,5) (2,7)
0 null null
1 (13,4) (13,5)
2 (2,12) (3,13)
3 (3,0) (1,0)
3 null null
0 (3,3) (5,5)
0 null null
1 (13,5) (13,4)
2 (0,15) (0,14)
3 (11,11) (11,9)
3 null null
0 (12,4) (14,4)
0 (14,4) (14,6)
0 null null
1 (13,4) (14,4)
2 (0,13) (0,12)
3 (13,13) (11,13)
3 null null
0 (4,4) (6,6)
0 null null
1 (14,4) (13,4)
2 (0,11) (1,11)
3 (7,1) (5,1)
3 null null
0 (5,5) (7,7)
0 (7,7) (5,9)
0 (5,9) (7,9)
0 null null
1 (12,1) (11,2)
2 (3,11) (4,10)
3 (6,1) (4,1)
3 null null
0 (7,9) (5,7)
0 (5,7) (3,9)
0 (3,9) (5,11)
0 (5,11) (7,13)
0 null null
1 (15,6) (14,7)
2 (1,11) (2,12)
3 (11,10) (11,8)
3 null null
0 (14,6) (14,8)
0 null null
1 (11,2) (10,3)
2 (2,12) (2,11)
3 (11,9) (11,7)
3 null null
0 (9,2) (11,4)
0 (11,4) (11,6)
0 null null
1 (11,1) (12,1)
2 (0,12) (2,12)
2 (2,12) (2,10)
2 (2,10) (2,12)
2 (2,12) (0,12)
2 (0,12) (2,12)
2 null null
3 (5,1) (3,1)
3 null null
0 (7,12) (7,14)
0 null null
1 (14,7) (13,8)
2 (6,9) (6,10)
3 (4,1) (2,1)
3 null null
0 (0,0) (1,1)
1 (12,2) (11,3)
2 (3,13) (4,13)
3 (2,1) (0,1)
3 null null
0 (3,6) (4,7)
1 (13,4) (12,5)
2 (5,14) (6,13)
3 (2,0) (0,0)
3 null null
0 (4,7) (4,9)
0 (4,9) (4,11)
0 null null
1 (11,3) (11,2)
2 (4,13) (4,15)
2 (4,15) (4,13)
2 null null
3 (6,12) (5,11)
0 (11,6) (13,4)
0 (13,4) (15,6)
0 null null
1 (13,2) (11,0)
1 (11,0) (13,2)
1 null null
2 (4,10) (6,12)
2 (6,12) (4,10)
2 (4,10) (4,12)
2 (4,12) (4,10)
2 null null
3 (11,8) (11,6)
3 (11,6) (11,4)
3 (11,4) (9,2)
3 null null
0 (4,11) (6,11)
0 null null
1 (11,5) (10,6)
2 (2,12) (1,11)
3 (5,11) (7,11)
3 (7,11) (5,9)
3 (5,9) (3,7)
3 (3,7) (1,7)
3 null null
0 (6,6) (7,7)
1 (10,6) (9,6)
2 (6,13) (5,12)
3 (15,15) (14,14)
0 (7,7) (5,9)
0 (5,9) (7,11)
0 (7,11) (5,11)
0 (5,11) (5,13)
0 (5,13) (3,15)
0 null null
1 (12,1) (11,0)
2 (1,12) (0,11)
3 (14,14) (14,12)
3 null null
0 (7,14) (8,15)
1 (14,1) (12,3)
1 (12,3) (10,1)
1 (10,1) (12,3)
1 null null
2 (0,14) (1,13)
3 (9,2) (8,1)
0 (7,15) (9,15)
0 null null
1 (15,5) (14,6)
2 (5,12) (4,12)
3 (9,12) (8,11)
0 (8,15) (10,15)
0 null null
1 (13,8) (13,7)
2 (6,10) (5,11)
3 (6,8) (5,7)
0 (9,15) (11,15)
0 (11,15) (13,15)
0 null null
1 (12,5) (13,5)
2 (1,13) (2,13)
3 (11,7) (10,6)
0 (15,6) (13,4)
0 (13,4) (13,6)
0 (13,6) (13,8)
0 (13,8) (15,8)
0 null null
1 (11,0) (10,0)
2 (0,11) (1,12)
3 (10,6) (8,6)
3 null null
0 (4,8) (5,9)
1 (11,2) (12,2)
2 (5,11) (6,12)
3 (8,6) (7,5)
0 (5,9) (3,11)
0 (3,11) (5,13)
0 (5,13) (7,11)
0 (7,11) (9,11)
0 null null
1 (13,5) (15,7)
1 (15,7) (15,9)
1 null null
2 (2,13) (1,14)
3 (7,5) (6,4)
0 (6,11) (6,13)
0 (6,13) (8,13)
0 null null
1 (12,2) (13,1)
2 (1,15) (1,13)
2 (1,13) (1,15)
2 (1,15) (1,13)
2 (1,13) (1,15)
2 null null
3 (5,7) (4,6)
0 (15,8) (15,10)
0 null null
1 (15,9) (15,8)
2 (1,15) (2,14)
3 (11,13) (13,13)
3 (13,13) (15,11)
3 (15,11) (15,9)
3 (15,9) (15,7)
3 (15,7) (13,5)
3 null null
0 (7,13) (9,13)
0 null null
1 (10,0) (11,0)
2 (1,10) (2,10)
3 (4,6) (3,5)
0 (3,15) (5,13)
0 (5,13) (3,13)
0 (3,13) (5,11)
0 (5,11) (7,13)
0 null null
1 (9,6) (8,7)
2 (2,11) (3,12)
3 (8,11) (7,10)
0 (8,13) (10,13)
0 null null
1 (12,3) (13,3)
2 (4,12) (4,11)
3 (7,10) (6,9)
0 (9,13) (11,13)
0 (11,13) (13,13)
0 (13,13) (15,13)
0 null null
1 (14,6) (13,6)
2 (4,11) (5,10)
3 (6,9) (4,11)
3 (4,11) (2,13)
3 (2,13) (0,11)
3 (0,11) (2,11)
3 (2,11) (2,9)
3 null null
0 (12,13) (13,14)
1 (8,7) (9,7)
2 (6,12) (6,11)
3 (12,15) (14,15)
3 (14,15) (12,13)
3 null null
0 (14,13) (12,15)
0 (12,15) (14,15)
0 null null
1 (12,0) (12,1)
2 (4,14) (3,15)
3 (2,9) (1,8)
0 (2,7) (0,7)
0 (0,7) (2,9)
0 (2,9) (2,11)
0 (2,11) (0,11)
0 (0,11) (2,13)
0 (2,13) (4,11)
0 (4,11) (6,9)
0 null null
1 (9,7) (8,6)
2 (6,11) (6,10)
3 (0,9) (2,7)
3 (2,7) (0,7)
3 null null
0 (13,15) (15,15)
0 null null
1 (13,1) (12,0)
2 (4,10) (4,11)
3 (1,8) (1,6)
3 null null
0 (6,9) (6,11)
0 null null
1 (13,0) (14,0)
2 (1,11) (1,10)
3 (1,7) (1,5)
3 null null
0 (7,13) (8,14)
1 (13,7) (12,7)
2 (3,12) (4,12)
3 (0,7) (2,5)
3 (2,5) (0,5)
3 null null
0 (1,1) (2,2)
1 (13,2) (12,3)
2 (4,13) (3,14)
3 (1,6) (1,4)
3 null null
0 (2,2) (3,3)
1 (13,3) (12,2)
2 (2,14) (1,15)
3 (1,5) (1,3)
3 null null
0 (8,14) (9,15)
1 (14,0) (13,1)
2 (4,11) (4,13)
2 null null
3 (1,4) (1,2)
3 null null
0 (9,15) (11,15)
0 null null
1 (8,6) (7,5)
2 (1,15) (0,15)
3 (1,3) (1,1)
3 null null
0 (10,15) (12,15)
0 (12,15) (14,13)
0 null null
1 (13,1) (11,1)
1 null null
2 (1,10) (1,9)
3 (14,12) (14,14)
3 (14,14) (12,14)
3 (12,14) (12,12)
3 null null
0 (13,14) (15,12)
0 (15,12) (15,14)
0 null null
1 (15,0) (15,1)
2 (2,15) (4,15)
2 (4,15) (6,15)
2 null null
3 (12,13) (12,11)
3 null null
0 (5,15) (7,15)
0 null null
1 (15,8) (14,9)
2 (4,13) (4,11)
2 null null
3 (12,12) (12,10)
3 null null
0 (14,8) (14,10)
0 null null
1 (14,9) (14,8)
2 (1,12) (0,12)
3 (12,11) (12,9)
3 null null
0 (14,10) (15,11)
1 (14,5) (14,6)
2 (6,10) (6,12)
2 (6,12) (6,10)
2 null null
3 (12,10) (12,8)
3 (12,8) (12,6)
3 (12,6) (14,4)
3 null null
0 (15,10) (15,12)
0 (15,12) (13,14)
0 null null
1 (11,0) (13,2)
1 (13,2) (11,0)
1 (11,0) (11,2)
1 null null
2 (1,14) (2,14)
3 (13,5) (13,7)
3 (13,7) (15,5)
3 (15,5) (13,3)
3 (13,3) (11,3)
3 (11,3) (9,3)
3 null null
0 (6,11) (7,12)
1 (13,6) (12,5)
2 (4,12) (4,10)
2 (4,10) (4,12)
2 (4,12) (4,10)
2 null null
3 (12,9) (11,8)
0 (7,12) (8,13)
1 (7,5) (8,6)
2 (4,10) (3,10)
3 (11,8) (13,6)
3 (13,6) (11,4)
3 (11,4) (9,2)
3 (9,2) (7,0)
3 null null
0 (8,13) (9,14)
1 (8,6) (9,5)
2 (3,14) (4,15)
3 (14,4) (13,3)
0 (9,11) (10,12)
1 (12,0) (11,0)
2 (2,10) (2,11)
3 (13,3) (11,3)
3 (11,3) (13,1)
3 null null
0 (9,14) (11,12)
0 (11,12) (9,12)
0 (9,12) (11,14)
0 null null
1 (15,1) (14,0)
2 (1,9) (1,10)
3 (6,4) (5,3)
0 (10,12) (10,14)
0 (10,14) (12,14)
0 (12,14) (14,14)
0 null null
1 (14,6) (13,6)
2 (3,10) (5,12)
2 null null
3 (5,3) (4,2)
0 (10,13) (12,15)
0 null null
1 (10,3) (8,3)
1 (8,3) (10,3)
1 null null
2 (6,15) (7,14)
3 (4,2) (2,0)
3 (2,0) (0,2)
3 null null
0 (11,15) (13,15)
0 null null
1 (12,5) (11,4)
2 (6,10) (6,9)
3 (3,1) (2,0)
0 (3,3) (4,4)
1 (12,2) (13,2)
2 (0,10) (1,11)
3 (3,5) (2,4)
0 (4,4) (5,5)
1 (9,5) (9,4)
2 (5,12) (6,12)
3 (2,4) (1,3)
0 (5,5) (6,6)
1 (13,6) (13,5)
2 (1,11) (3,11)
2 (3,11) (5,11)
2 null null
3 (13,1) (12,0)
0 (6,6) (7,7)
1 (13,5) (14,6)
2 (5,10) (4,10)
3 (12,0) (10,0)
3 (10,0) (12,2)
3 (12,2) (10,2)
3 (10,2) (10,4)
3 (10,4) (8,2)
3 (8,2) (8,0)
3 (8,0) (6,0)
3 null null
0 (7,7) (8,8)
1 (14,6) (13,6)
2 (6,12) (6,11)
3 (7,0) (5,0)
3 null null
0 (8,8) (9,9)
1 (13,2) (12,2)
2 (6,11) (7,12)
3 (6,0) (4,0)
3 null null
0 (9,9) (10,10)
1 (11,4) (12,4)
2 (2,11) (1,11)
3 (5,0) (3,0)
3 null null
0 (10,10) (11,11)
1 (10,3) (11,3)
2 (6,9) (5,9)
3 (8,1) (7,0)
0 (11,11) (12,12)
1 (12,4) (13,3)
2 (7,14) (8,13)
3 (9,3) (8,2)
0 (12,12) (13,13)
1 (11,3) (10,3)
2 (4,11) (3,11)
3 (8,2) (7,1)
0 (7,15) (8,15)
1 (11,1) (12,0)
2 (0,15) (0,14)
3 (7,1) (6,0)
0 (15,11) (15,12)
1 (11,2) (10,1)
2 (2,14) (2,13)
3 (7,0) (5,0)
3 null null
0 (11,14) (12,14)
1 (13,6) (12,5)
2 (4,15) (4,14)
3 (0,5) (0,4)
0 (8,15) (9,15)
1 (12,1) (13,1)
2 (1,10) (0,11)
3 (0,4) (0,3)
0 (9,15) (10,15)
1 (13,1) (12,1)
2 (5,11) (5,12)
3 (0,3) (2,1)
3 null null
0 (10,15) (11,15)
1 (12,0) (10,0)
1 null null
2 (5,9) (4,9)
3 (1,3) (0,3)
0 (12,14) (14,12)
0 null null
1 (12,2) (12,4)
1 null null
2 (4,14) (5,15)
3 (5,0) (4,1)
0 (14,12) (12,14)
0 null null
1 (9,4) (10,4)
2 (0,12) (2,10)
2 (2,10) (4,12)
2 (4,12) (2,10)
2 (2,10) (0,12)
2 (0,12) (0,10)
2 null null
3 (4,1) (3,1)
0 (12,14) (14,12)
0 null null
1 (12,4) (12,2)
1 (12,2) (12,0)
1 null null
2 (0,10) (1,9)
3 (6,0) (5,0)
0 (14,12) (12,14)
0 null null
1 (14,0) (13,0)
GAMEOVER 
WINNER Player-0
# Game ended: Sun Apr 06 18:13:13 EDT 2014
